id,flight_id_1,flight_id_2,detected_at,middle_point_lat,middle_point_lon,horizontal_distance,vertical_distance,remaining_time,flight_1_conflict_entry_lat,flight_1_conflict_entry_lon,flight_1_conflict_entry_flight_level,flight_1_conflict_exit_lat,flight_1_conflict_exit_lon,flight_1_conflict_exit_flight_level,flight_2_conflict_entry_lat,flight_2_conflict_entry_lon,flight_2_conflict_entry_flight_level,flight_2_conflict_exit_lat,flight_2_conflict_exit_lon,flight_2_conflict_exit_flight_level,active,last_checked
1230,PO00756969,PO00774584,2026-04-10 12:20:29.123043 +00:00,48.72115750715196,13.8977992224775,2.3511588921555777,0.13177392317328154,0.012657490393564154,48.72047463332257,13.835118351404287,370,48.68471148547577,13.941598112680493,370,48.73424345447611,13.959714481895185,378.0067357518674,48.74520045533337,13.854765943930037,378.0067357518674,false,2026-04-10 12:23:25.121960 +00:00
1189,PO00759939,PO00762802,2026-04-10 12:07:30.187576 +00:00,45.88550014046392,22.348348707899376,1.3733530178260822,0.047807013211011495,0.049402019593921015,45.91363628636053,22.306995707680514,360,45.87631036557205,22.4081728072302,360,45.849825591991184,22.384117707206254,362.9048093329,45.90222831793189,22.294108609480535,362.9048093329,false,2026-04-10 12:11:02.852093 +00:00
1161,PO00746433,PO00771959,2026-04-10 12:00:21.759017 +00:00,48.591620282514924,15.955616888017623,2.3694375018581404,-0.1131349605814381,0.07984713348104205,48.635204306615464,15.93850551398065,370,48.57852451177648,16.01083655080962,370,48.558153929485655,15.986558409557427,363.12578914052415,48.594598382182085,15.886567077722798,363.12578914052415,false,2026-04-10 12:01:31.705259 +00:00
1185,PO00750380,PO00765841,2026-04-10 12:07:26.122302 +00:00,50.93941830531877,13.486320069697758,0.00012512639828383867,-0.00000001922998489132282,0.0005614168506263006,49.141092827822824,13.034354354238337,400,52.737744108829574,13.938282518918237,400,49.22334440220521,13.055029574347298,399.9999988315639,52.65549188241747,13.91761383128716,399.9999988315639,false,2026-04-10 12:07:59.731395 +00:00
1168,PO00753897,PO00755897,2026-04-10 12:02:44.557365 +00:00,49.79169643782122,14.845346079033718,3.877351526402207,0.047193661852720184,0.13523654913643263,49.74439360599728,14.863920486157152,340,49.877062055244835,14.747430145277493,340,49.748807062659225,14.990393580608512,342.867541396038,49.79652302738354,14.779640104091712,342.867541396038,false,2026-04-10 12:05:39.763953 +00:00
1165,PO00758207,PO00774453,2026-04-10 12:01:35.278547 +00:00,51.44840426867656,10.492295855195422,3.7479218222960213,-0.031099155595906442,0.061100496824082286,51.50236060684474,10.32962020785788,370,51.380017366185726,10.752967917674894,370,51.463162374459955,10.211062484464842,368.1103793909574,51.448076727215835,10.675532810784071,368.1103793909574,false,2026-04-10 12:02:11.275843 +00:00
1175,PO00758207,PO00774453,2026-04-10 12:04:32.961195 +00:00,51.27546224281679,11.452701599797908,3.8825547318807807,-0.009964295343406374,0.008705274961074698,51.30407543715801,11.448348600016246,370,51.22504410954214,11.55454217818939,370,51.276480219381476,11.322527222231969,369.3945579076119,51.29624920518555,11.48538839875403,369.3945579076119,false,2026-04-10 12:06:55.459939 +00:00
1163,PO00759378,PO00773145,2026-04-10 12:00:58.881437 +00:00,50.17784296999117,10.99197002195693,0.004161354776019702,-0.00009078034801771153,0.1661349158493663,50.00793196473466,11.416703095473993,380,50.3476951977306,10.567179564717437,380,50.052120909296036,11.306420066580916,379.9944840812162,50.30362380820337,10.677577361055375,379.9944840812162,false,2026-04-10 12:02:11.402496 +00:00
1167,PO00754955,PO00765118,2026-04-10 12:02:08.784781 +00:00,49.591993271819014,16.764702362967615,4.015541381424534,-0.12776264009056904,0.00020723463361971417,49.62465571360604,16.767750641318226,370.4702903415951,49.631041031505404,16.76896090173169,372.74116007405576,49.557906434914294,16.761771820010832,360.4702903415951,49.56425601784251,16.75950893835088,382.74116007405576,false,2026-04-10 12:05:42.649919 +00:00
1169,PO00759378,PO00773145,2026-04-10 12:02:46.824700 +00:00,50.19630550608105,12.278229999016231,1.905378085780362,0.1336381998984093,0.0005856949773283598,50.20228097939955,12.255415280932208,369.9710692570956,50.20222620444094,12.253782399548255,389.9710692570956,50.19033618614447,12.301288120696222,379.9710692570956,50.1903254991978,12.300331586478247,379.9710692570956,false,2026-04-10 12:05:43.684834 +00:00
1176,PO00758207,PO00774453,2026-04-10 12:04:32.961692 +00:00,51.28428052402546,11.48932769194706,4.219454107002304,-0.0029152071378620806,-0.005610212394191952,51.30358811064262,11.396872553271239,370,51.254004743689606,11.692787321427588,370,51.27042436345576,11.27471706421291,369.8228686476601,51.30910487831386,11.592933828876507,369.8228686476601,false,2026-04-10 12:06:55.459976 +00:00
1162,PO00769668,PO00771638,2026-04-10 12:00:26.614227 +00:00,48.66615719359692,19.137756220440597,3.5305904580456287,-0.008924821639633247,0.036895540516935554,48.668779907482346,19.202980681326114,360,48.70498473492508,19.135492623572976,360,48.669156453556305,19.07727606362438,359.45771753029527,48.621707678423974,19.135275513238913,359.45771753029527,false,2026-04-10 12:02:49.281439 +00:00
1197,PO00767668,PO00774453,2026-04-10 12:08:08.798854 +00:00,50.44294011335243,14.508700498638722,3.4916886367877313,0.11502568435368365,0.0008459669616502252,50.429201662230184,14.468390928625102,359.89343605734325,50.429743720825435,14.468480358762504,379.89343605734325,50.45674003545307,14.54874717754887,369.89343605734325,50.45578965480101,14.550404006197219,369.89343605734325,false,2026-04-10 12:08:44.306225 +00:00
1172,PO00773188,PO00774313,2026-04-10 12:03:26.250516 +00:00,50.37121215593452,14.631573547442803,3.055806937836168,-0.02499469227208911,0.010181487466703573,50.32577235555418,14.617241017445108,370,50.388518218889,14.579569103253698,370,50.40883472714292,14.626590321548953,368.48129363228645,50.361723322152,14.702893747523458,368.48129363228645,false,2026-04-10 12:05:47.428994 +00:00
1166,PO00758207,PO00774453,2026-04-10 12:01:35.279056 +00:00,51.285634108789516,11.48082246168384,3.8157462905416715,-0.0023619360267333645,-0.008878057978272732,51.309884930804266,11.359292973812273,370,51.25230378756349,11.702938669926816,370,51.26570089362887,11.246411568582879,369.85648603932054,51.31464682316143,11.614646634413386,369.85648603932054,false,2026-04-10 12:03:22.514971 +00:00
1173,PO00741355,PO00757641,2026-04-10 12:03:51.846105 +00:00,50.18897490958607,12.329150008305351,0.3952620690011319,-0.005392856292839403,0.011052954606759547,50.183359100906436,12.872355993531105,380,50.19538825510424,11.79614901754898,380,50.100156445952095,12.877856671079613,379.67232382367655,50.2769958363815,11.770238351061712,379.67232382367655,false,2026-04-10 12:06:14.506326 +00:00
1170,PO00759956,PO00769208,2026-04-10 12:02:47.773468 +00:00,48.030628342492676,16.412980973084924,0.008848551393731838,-0.000054755445796368306,-0.3320178582996494,46.43615265587929,22.008568150972014,360,49.624968368338465,10.817308010920367,360,46.403749380805465,22.122850467290824,359.9966729958788,49.65764296494748,10.703197263156492,359.9966729958788,false,2026-04-10 12:03:25.316158 +00:00
1177,PO00767668,PO00769692,2026-04-10 12:04:35.883671 +00:00,50.47692131078188,14.53233181132384,2.072221772334199,0.13688537294726222,0.00003064784105331658,50.49310311504375,14.522994303000775,249.9628613123649,50.49332997851945,14.522924985779316,269.9628613123649,50.46072713902808,14.541652500484531,259.9628613123649,50.46064727252157,14.541921726135786,259.9628613123649,false,2026-04-10 12:06:58.040017 +00:00
1174,PO00758290,PO00764779,2026-04-10 12:03:57.446951 +00:00,50.03140507226584,14.590266181601086,3.4844486491703877,0.1147955270627749,0.000477335312792515,50.0117274132985,14.62391612184551,96.02253581898114,50.01145430554877,14.620454890032935,142.6109708712106,50.051186290180325,14.55775136189392,106.02253581898114,50.050774686050005,14.553707394603931,132.6109708712106,false,2026-04-10 12:04:32.992133 +00:00
1164,PO00759644,PO00764912,2026-04-10 12:00:59.174503 +00:00,49.544381278135205,15.32897941204833,3.8900479603222,0.0571277955144056,0.02911636191489384,49.539849778212925,15.272409874610291,370,49.49646279012871,15.326735258905593,370,49.56158455252144,15.396712615243286,373.4711508298123,49.57962799167775,15.320059899434145,373.4711508298123,false,2026-04-10 12:04:34.140591 +00:00
1171,PO00762660,PO00776171,2026-04-10 12:03:25.219831 +00:00,48.80230862661513,16.22657892682907,3.259978343988678,0.07404672970710774,-0.002439962903828734,48.83643624321574,16.21173367977385,403.11508335556533,48.80925004218255,16.289400560912213,389.87853012844937,48.75318661325765,16.214987327280912,399.87853012844937,48.80602966085907,16.182556418489366,399.87853012844937,false,2026-04-10 12:04:34.301255 +00:00
1182,PO00738576,PO00768792,2026-04-10 12:06:49.423231 +00:00,49.24071605336515,15.338271800051249,3.370909212442391,0.06207169741664135,0.119890600562836,49.22818672110018,15.260479667187253,350,49.21085551998724,15.35963112805928,350,49.23024729155051,15.388098842737346,353.77154801888514,49.293574680822644,15.344877562221118,353.77154801888514,false,2026-04-10 12:07:24.583427 +00:00
