sample_time,time_over,flight_id,aircraft_type,origin,destination,lat,lon,flight_level,route_string
2026-03-29T15:45:35Z,2026-03-29T15:43:18Z,PO00362410,A21N,EGGW,LHBP,49.41722222222222,14.027777777777779,350,N0431F350 MATCH3Y MATCH Q295 BRAIN M197 REDFA L620 TACHA DCT TIVUN DCT ESAMA DCT OSBIT/N0440F370 DCT BOREP DCT ENITA DCT PEPIK DCT NIT M748 ARFOX
2026-03-29T15:45:35Z,2026-03-29T15:37:12Z,PO00350891,E195,EPKK,EDDM,50.17444444444445,17.37,325,N0408F340 ADADO1F ADADO DCT UTEVO DCT VOZ DCT BAVRI T110 BINGU T108 LANDU LANDU2B
2026-03-29T15:45:35Z,2026-03-29T14:50:32Z,PO00379232,SB39,LKPD,LKPD,49.12,19.438333333333333,243,N0458F270 TIBLA DCT MAKAL DCT UMARY STAY1/0040 UMARY/N0464F280 DCT MAKAL DCT TIBLA
2026-03-29T15:45:35Z,2026-03-29T15:43:39Z,PO00363305,A20N,EPKT,LEMD,50.169444444444444,15.1075,380,N0446F380 ADADO1M ADADO DCT UTEVO DCT OKG DCT AMOSA/N0432F370 N869 LETKU/N0425F360 N869 TEDGO/N0413F350 N869 NATOR DCT LUTIX DCT BENOT DCT NEMOS DCT NINTU DCT MEBAK DCT REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI N869 ZAR/N0333F270 Z245 TERSA
2026-03-29T15:45:35Z,2026-03-29T15:41:06Z,PO00358698,A321,EHEH,LROP,49.51972222222222,13.360833333333334,332,N0434F330 VELNI DCT ONUNE DCT GMH DCT ESAMA/N0445F350 DCT OSBIT DCT BOREP DCT ENITA DCT IPDUL DCT PEPIK DCT PATAK DCT NIPUR/N0438F330 DCT NARKA DCT DENAK DENAK2X
2026-03-29T15:45:35Z,2026-03-29T15:41:38Z,PO00358769,A321,LROP,EGNM,49.583888888888886,17.29277777777778,380,N0448F380 SOKRU1M SOKRU DCT OXDOC DCT IRLOX DCT NARKA DCT MAKAL DCT LALUK DCT RAVLO Y70 GOLES DCT
2026-03-29T15:45:35Z,2026-03-29T15:44:32Z,PO00369534,E190,EFHK,LOWW,49.35638888888889,17.346944444444443,241,N0455F400 KOIVU4Q KOIVU Y123 LARTI DCT BERIL/N0453F410 DCT BOKSU/N0453F400 DCT BAVOK DCT MIKOV MIKOV8W
2026-03-29T15:45:35Z,2026-03-29T15:44:07Z,PO00327381,LJ75,EKCH,LOWW,50.14,15.024166666666666,315,N0453F350 SALLO1D SALLO M44 KOGIM DCT USEDU DCT PADKU DCT GERGA DCT IDOBA M725 HDO DCT EVIKU DCT BITSI DCT MIKOV MIKOV8W
2026-03-29T15:45:35Z,2026-03-29T15:42:59Z,PO00368286,B38M,LKPR,EGCC,50.10777777777778,13.79,110,N0453F380 BALTU DCT DONAD DCT VARIK L602 SODRO DCT KATCE DCT RKN L602 SPY DCT RAVLO Y70 OTBED OTBED1M
2026-03-29T15:45:35Z,2026-03-29T15:44:58Z,PO00361481,A320,LSGG,EPKK,49.129444444444445,16.968333333333334,318,N0441F380 SOSAL1N SOSAL N871 KORED DCT BERSU DCT DITON DCT DEGES DCT GAMSA/N0445F390 DCT TULSI DCT INPUL DCT MORED DCT MASUR DCT NAVTI DCT UPLAV DCT NETIR NETIR4G
